ep,sr,ho,rew_mec,rew_ho
0,0.02631578947368421,0,-145.68196393595233,71.87914025091487
1,0.6578947368421053,0,27.071861133448095,178.07787672201928
2,0.0,0,-152.0,113.3478352561273
3,0.05263157894736842,0,-139.14047636048053,71.87914025091487
4,0.32894736842105265,0,-68.9765882024228,178.07787672201928
5,0.09210526315789473,0,-127.83800051399469,111.3739142802206
6,0.0,0,-152.0,74.5149333490933
7,0.868421052631579,0,84.17410075486151,178.67971870551258
8,0.039473684210526314,0,-141.64800478926003,108.59614600577852
9,0.15789473684210525,0,-113.26259801503086,69.7012736146843
10,0.17105263157894737,0,-110.0444959355884,178.07787672201928
11,0.09210526315789473,0,-127.92005306962824,108.59614600577852
12,0.02631578947368421,0,-145.80037363420615,74.5149333490933
13,0.7368421052631579,0,43.76052920717183,178.67971870551258
14,0.039473684210526314,0,-141.82455599484638,108.59614600577852
15,0.14473684210526316,0,-116.32432685757874,69.7012736146843
16,0.5131578947368421,0,-18.165664823948592,178.07787672201928
17,0.0,0,-152.0,113.3478352561273
18,0.0,0,-152.0,74.5149333490933
19,0.5394736842105263,0,-9.849340227969789,178.67971870551258
20,0.013157894736842105,0,-148.6099376145948,108.59614600577852
21,0.0,0,-152.0,74.5149333490933
22,0.5921052631578947,0,6.636520760952529,178.07787672201928
23,0.17105263157894737,0,-106.67620694882898,113.3478352561273
24,0.23684210526315788,0,-92.90827657123258,71.49427137441121
25,0.07894736842105263,0,-132.3075872862736,178.07787672201928
26,0.0,0,-152.0,113.3478352561273
27,0.17105263157894737,0,-109.85716268894203,70.2760219760041
28,0.5131578947368421,0,-17.906546760645416,178.67971870551258
29,0.039473684210526314,0,-141.89658977820386,113.3478352561273
30,0.17105263157894737,0,-109.82814942283217,71.87914025091487
31,0.618421052631579,0,14.341257609372551,178.07787672201928
32,0.0,0,-152.0,113.3478352561273
33,0.02631578947368421,0,-145.77955691090165,74.5149333490933
34,0.06578947368421052,0,-135.97653255671167,178.07787672201928
35,0.02631578947368421,0,-145.21933398577184,113.3478352561273
36,0.05263157894736842,0,-139.2775654729056,69.7012736146843
37,0.6447368421052632,0,24.181380278042862,178.07787672201928
38,0.0,0,-152.0,113.3478352561273
39,0.013157894736842105,0,-148.87779640828256,71.98055870618998
40,0.5131578947368421,0,-16.515515661157288,178.07787672201928
41,0.10526315789473684,0,-124.55038332138551,108.59614600577852
42,0.15789473684210525,0,-113.0273977249654,71.87914025091487
43,0.8026315789473685,0,61.8599985127493,178.67971870551258
44,0.0,0,-152.0,113.3478352561273
45,0.06578947368421052,0,-135.85023829634008,71.16945230317319
46,0.23684210526315788,0,-92.99183114119167,178.07787672201928
47,0.0,0,-152.0,113.3478352561273
48,0.02631578947368421,0,-145.67363849660575,65.12105280905827
49,0.6578947368421053,0,27.33937863754884,178.07787672201928
50,0.013157894736842105,0,-148.52291934178555,108.59614600577852
51,0.2631578947368421,0,-86.22656536887598,65.12105280905827
52,0.0,0,-152.0,178.63336082905099
53,0.0,0,-152.0,113.3478352561273
54,0.0,0,-152.0,65.12105280905827
55,0.5263157894736842,0,-13.725618296215579,178.07787672201928
56,0.05263157894736842,0,-138.35167113302873,113.3478352561273
57,0.02631578947368421,0,-145.7113621380636,72.2039593221529
58,0.18421052631578946,0,-106.74754513457438,178.07787672201928
59,0.14473684210526316,0,-113.81859629527992,113.3478352561273
60,0.0,0,-152.0,74.5149333490933
61,0.7763157894736842,0,56.43374246831866,178.67971870551258
62,0.039473684210526314,0,-141.87931776469964,113.3478352561273
63,0.039473684210526314,0,-142.5074774436195,71.16945230317319
